Trig_date,District,Chiefdom,Section,Name_of_community,t_q1,t_q2,t_q3,t_q4,t_q5,t_q6,t_q7,t_q8,t_q9,t_q10,t_q11
2014-10-12,Kailahun,Luawa,Baoma,Sokebo,Last week ,1 ,1 ,Youth Leader ,Very High ,With the intervention of Restless Development Ebola can be stopped ,do we need to avoid all bush meat or just monkeys ,Keeping sick persons in the community Using the properties of Ebola infected person ,No sick person should be kept at home No one should wash dead bodies ,High rate of teenage pregnancy ,They are capable of carrying out action plan and there is no obstacle 
2014-11-12,Bo,Bagbo,Ngolapon,Ndeima,weeks ,1 ,1 ,Member ,High ,Late arrival of burial team ineffectiveness of the hot line ,Why Ebola is not curable ,Poor awareness by the community ,Strangers not allowed ,To engage teenage mothers on livelihood activities ,NA 
2014-11-12,Bo,Jaiama Bongor,Upper Kama,Walihun,NA ,1 ,1 ,Member ,High ,Delay of the burial team ,How do we know that someone has Ebola ,Accommodation of strangers ,Guests not allowed ,We need Pp Es to bury our dead ,There concern is that we they want the organization to make provision of Top Up for there community champions for easy and effective communication between community and the Organization 
2014-11-12,Bo,Niawa Lenga,Lower,Mbelebu,NA ,1 ,1 ,ordinary citizen ,High ,they are not happy with the intervention of the . military personnel being deployed in the fight against Ebola ,when is Ebola going to come to an end ,touching an infected personalizing dead body. ,strangers are not allowed in the communicability persons must be allowed to go to the hospital. ,8 members of the community have been appointed to do a house to house search for sick persons ,if they are given the necessary they can easily implement the action plan. 
2014-11-12,Bo,Valunia,Lunia,Kpetema,4 weeks or more ,1 ,1 ,youth leader ,High ,their concerns where the Goal will be able to take goo care of those children who lost their parent from Ebola ,If after Ebola they will be washing dead people. ,The asses that the key risk of contacting Ebola is by washing the dead. ,Not allowing stranger to enter and stay with them. ,The government should support them because they are relay taking the lead to fright Ebola. ,Their expectation is very high. 
2014-11-12,Bo,Valunia,Lunia,Lamabu,4 weeks or more ,1 ,1 ,Imam ,High ,Their concerns were after this Ebola ether this bye laws are going to continue. ,when will the Ebola out break will be eradicate so that their children will continue schooling ,Caring for the sick and wishing the body of a person who died of Ebola ,Carny for the sick at home is not allowed by the people in the community who so ever violate this law will the count of law. ,The fright of Ebola is not only on the Goal but the also need to come together in other to put an end to this. ,our concerns are for those who will be caring for the people they will isolate in septate room with OT any proper protective gear while swatting for the medical team. 
2014-11-12,Bo,Valunia,Lunia,Monghere,4 weeks or more ,1 ,1 ,Member ,High ,Their concerns were due to this out break most of their girl children has pregnant. ,The asked why Ebola out break in sierra Leone have stand still compare to other countries like menagerie ,Washing dead and creating for the sick. ,Boone is allowed to wash burial some one who die in the house except the burial team. ,they were saying that since we are staying in their community and work with them for five month it means Ebola will not end until the five month end. ,our concerns were ether this people will leave their farm work and concentrate to our work when the know that we are paying them. 
2014-11-12,Bo,Valunia,Vargellu,Yambama,4 weeks or more ,1 ,1 ,Member ,High ,Government should vaccinate all bush animal after Ebola ,When leannesses will be free from Ebola ,eating bush meat like monkey bats ,Screening of stringer in their community ,Government should work hard to eradicate Ebola in sierra Leone ,No team work from the community 
2014-11-12,Kailahun,Luawa,Luawa Foiya,Mbenahun,Last week ,1 ,1 ,Ordinary Citizen ,Very High ,Early treatment can lead to survival ,All Ebola survivors are allowed to stay in the community ,Using the property of Ebola infected persons Washingtonian dead bodies Touching sick people and eating bush meat ,Public gartering is not allowed ,Restless Development is the only Organization that calls them together sit with them to share important ideas related to Ebola ,They are capable of carrying out action plan and there is no obstacle 
2014-11-12,Moyamba,Kongobora,Tongea,Moyoba,NA ,1 ,1 ,Town chief ,Medium ,Lack of bucket for hand washing ,When will Ebola end ,Treating sick people secretariat Washing and touching dead bodies ,Obey the law of the government ,No health facility no support for our children to go to school ,NA 
2014-11-15,Moyamba,Mano Dasse,Semabu,Semabu,NA ,1 ,1 ,Imam ,High ,according to theme Ebola virus has greatly affected their movement from one place to another. ,Does the government have any solution to this problem ,visiting burial homesteading dead bookkeeping sick persons at home. ,washing of dead body is not inquisitorial are not allowed in the community. ,they are not allowed to accommodate any stranger without the knowledge of the town chief. ,the only obstacle is the fact that the mobilizers did not bring any material for them to start implementing some of the by-laws. 
